accuracy,recall,precision
0.8217633928571428,0.8217633928571428,0.890625
0.78125,0.786607142857143,0.859375
0.76015625,0.76171875,0.84375
0.8572916666666667,0.8604166666666667,0.90625
0.7942708333333334,0.7942708333333334,0.875
0.7070312500000001,0.712109375,0.796875
0.765625,0.7708333333333334,0.796875
0.7239583333333334,0.7239583333333334,0.78125
0.7105654761904762,0.7136904761904761,0.796875
0.8395833333333333,0.8427083333333333,0.90625
0.796875,0.796875,0.828125
0.732421875,0.7424665178571428,0.8125
0.8072916666666667,0.8072916666666667,0.890625
0.6881510416666667,0.6967934409340659,0.828125
0.7278645833333334,0.7356770833333334,0.796875
0.7916666666666667,0.7916666666666667,0.890625
0.8122829861111112,0.8122829861111112,0.859375
0.7217881944444444,0.7296006944444444,0.84375
0.8446800595238096,0.8446800595238096,0.921875
0.83125,0.83125,0.890625
0.828125,0.828125,0.90625
0.8125,0.8125,0.859375
0.76953125,0.76953125,0.828125
0.8138020833333334,0.8191592261904761,0.90625
0.875,0.875,0.90625
0.78046875,0.78046875,0.859375
0.8763020833333333,0.8802083333333333,0.9375
0.7786458333333334,0.7825520833333334,0.84375
0.7760416666666667,0.7760416666666667,0.8125
0.9231770833333334,0.9231770833333334,0.953125
0.7921875,0.7921875,0.875
0.8671875,0.8723958333333333,0.890625
0.7141927083333333,0.7141927083333333,0.8125
0.765625,0.7678571428571429,0.875
0.76484375,0.76484375,0.828125
0.7895833333333333,0.7895833333333333,0.84375
0.7265625,0.73046875,0.8125
0.7929687500000001,0.7929687500000001,0.90625
0.7609375,0.7651041666666667,0.859375
0.80859375,0.8137019230769231,0.90625
0.7712673611111112,0.773499503968254,0.859375
0.8046875,0.81640625,0.859375
0.7981770833333333,0.7981770833333333,0.828125
0.77734375,0.7825520833333333,0.84375
0.8203125,0.82421875,0.859375
0.753125,0.7623883928571429,0.84375
0.7916666666666667,0.7916666666666667,0.84375
0.8430989583333333,0.8430989583333333,0.890625
0.8802083333333334,0.8802083333333334,0.90625
0.7955729166666666,0.7955729166666666,0.890625
0.7291666666666666,0.7291666666666666,0.796875
0.8697916666666666,0.8697916666666666,0.9375
0.80859375,0.80859375,0.859375
0.82421875,0.82421875,0.890625
0.8359375,0.8359375,0.875
0.8577008928571428,0.8577008928571428,0.9375
0.8450520833333334,0.8489583333333334,0.921875
0.7934895833333333,0.7977306547619047,0.875
0.8104166666666666,0.8104166666666666,0.875
0.7309895833333333,0.7457217261904762,0.859375
0.8854166666666666,0.8893229166666666,0.9375
0.7139756944444445,0.7230902777777778,0.828125
0.8026041666666667,0.8026041666666667,0.84375
0.845703125,0.8483072916666666,0.890625
0.8098958333333333,0.8151041666666666,0.84375
0.7786458333333334,0.7824404761904763,0.859375
0.8585069444444444,0.8607390873015873,0.9375
0.7981770833333333,0.7981770833333333,0.875
0.7369791666666666,0.7431175595238095,0.84375
0.8359375,0.8359375,0.890625
0.7596354166666668,0.76484375,0.84375
0.7942708333333334,0.7965029761904763,0.84375
0.7473958333333334,0.7473958333333334,0.84375
0.8125,0.8125,0.859375
0.7760416666666666,0.7760416666666666,0.84375
0.8177083333333334,0.8188244047619049,0.875
0.8337673611111112,0.8415798611111112,0.921875
0.8453311011904762,0.8453311011904762,0.9375
0.8463541666666666,0.8463541666666666,0.90625
0.77734375,0.7818080357142857,0.84375
0.8333333333333334,0.8333333333333334,0.890625
0.6255208333333333,0.6411458333333333,0.765625
0.7283854166666667,0.7322916666666667,0.859375
0.7682291666666667,0.7682291666666667,0.8125
0.8645833333333334,0.8645833333333334,0.90625
0.7434895833333334,0.7457217261904763,0.84375
0.7686631944444444,0.7738715277777777,0.84375
0.83984375,0.8502604166666666,0.90625
0.84375,0.84375,0.859375
0.8059895833333334,0.8082217261904762,0.859375
0.828125,0.828125,0.875
0.8286458333333333,0.8308779761904762,0.890625
0.8533854166666668,0.8553385416666668,0.9375
0.8763020833333334,0.87890625,0.9375
0.7838541666666666,0.7838541666666666,0.84375
0.8190104166666666,0.8229166666666666,0.890625
0.8430989583333334,0.8430989583333334,0.90625
0.7914062500000001,0.793638392857143,0.890625
0.7444196428571429,0.7444196428571429,0.796875
0.8355654761904762,0.8355654761904762,0.890625
0.828125,0.828125,0.859375
0.814453125,0.8186383928571428,0.890625
0.7739583333333334,0.7739583333333334,0.84375
0.798828125,0.798828125,0.890625
0.83984375,0.8409598214285714,0.890625
0.7513020833333333,0.7513020833333333,0.8125
0.8046875,0.8046875,0.828125
